         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   1.308997   1.031590   1.570260   1.355693  -0.271301  -0.324255   0.980009  -0.504611   1.285771  -0.420484   0.162877   1.640070  -0.653208   0.133365  -4.835621   0.011486   0.005676  -0.414931   0.172931
   1.326450   1.020731   1.562330   1.382991  -0.246824  -0.299764   0.990707  -0.506582   1.311680  -0.427800   0.166928   1.631707  -0.720505   0.137137  -4.816932   0.010681   0.005294  -0.422618   0.176267
   1.343904   1.009801   1.554508   1.412787  -0.220871  -0.273794   1.001799  -0.508948   1.339962  -0.435005   0.170937   1.623462  -0.795499   0.140876  -4.788961   0.009871   0.004913  -0.430195   0.179557
   1.361357   0.998802   1.546809   1.445500  -0.193244  -0.246148   1.010687  -0.509109   1.371015  -0.442092   0.174893   1.615345  -0.879682   0.144571  -4.765011   0.009078   0.004535  -0.437668   0.182820
   1.378810   0.987737   1.539248   1.481741  -0.163647  -0.216529   1.020008  -0.509703   1.405418  -0.449052   0.178782   1.607373  -0.975200   0.148207  -4.771034   0.008332   0.004159  -0.444987   0.186055
   1.396263   0.976609   1.531839   1.522361  -0.131667  -0.184526   1.025697  -0.506666   1.443980  -0.455877   0.182585   1.599560  -1.085079   0.151766  -4.750923   0.007557   0.003783  -0.452210   0.189192
   1.413717   0.965420   1.524595   1.567880  -0.097169  -0.150002   1.031561  -0.503803   1.487195  -0.462560   0.186284   1.591922  -1.211748   0.155229  -4.689797   0.006754   0.003412  -0.459299   0.192199
   1.431170   0.954173   1.517522   1.619622  -0.059563  -0.112368   1.030686  -0.494202   1.536317  -0.469093   0.189847   1.584480  -1.360269   0.158565  -4.535071   0.005897   0.003046  -0.466296   0.195038
   1.448623   0.942872   1.510671   1.679718  -0.017888  -0.070663   1.031765  -0.486554   1.593370  -0.475467   0.193251   1.577254  -1.538829   0.161749  -4.673010   0.005293   0.002681  -0.472992   0.197930
   1.466077   0.931519   1.504112   1.766803   0.038003  -0.014739   1.008797  -0.454859   1.676034  -0.481656   0.196419   1.570301  -1.809089   0.164707  -3.646825   0.003942   0.002250  -0.479924   0.199960
   1.483530   0.920118   1.497712   1.800000   0.062068   0.009362   0.963498  -0.400834   1.707585  -0.487764   0.199211   1.563585  -1.915846   0.167293  -0.003770   0.002830   0.002096  -0.486660   0.201816
   1.500983   0.908670   1.491359   1.800000   0.067625   0.014956   0.936831  -0.365440   1.707648  -0.493982   0.201705   1.556885  -1.916063   0.169578  -0.003791   0.002800   0.002074  -0.492982   0.204321
   1.518436   0.897179   1.484973   1.800000   0.073290   0.020660   0.917935  -0.337818   1.707716  -0.500300   0.204020   1.550157  -1.916293   0.171682  -0.003839   0.002771   0.002052  -0.499382   0.206634
   1.535890   0.885649   1.478569   1.800000   0.079064   0.026475   0.904628  -0.315784   1.707787  -0.506695   0.206186   1.543405  -1.916536   0.173637  -0.003982   0.002741   0.002030  -0.505844   0.208792
   1.553343   0.874081   1.472142   1.800000   0.084947   0.032403   0.892596  -0.295025   1.707862  -0.513155   0.208221   1.536632  -1.916792   0.175459  -0.004117   0.002711   0.002008  -0.512367   0.210815
   1.570796   0.862479   1.465697   1.800000   0.090942   0.038444   0.883695  -0.277397   1.707941  -0.519672   0.210138   1.529839  -1.917061   0.177165  -0.004245   0.002681   0.001985  -0.518938   0.212717
   1.588250   0.850846   1.459234   1.800000   0.097050   0.044600   0.875128  -0.260104   1.708023  -0.526239   0.211946   1.523028  -1.917343   0.178761  -0.004367   0.002651   0.001963  -0.525557   0.214508
   1.605703   0.839185   1.452756   1.800000   0.103272   0.050873   0.868686  -0.244935   1.708109  -0.532849   0.213651   1.516201  -1.917637   0.180254  -0.004482   0.002620   0.001940  -0.532214   0.216193
   1.623156   0.827499   1.446263   1.800000   0.109610   0.057263   0.862274  -0.229797   1.708199  -0.539499   0.215259   1.509360  -1.917944   0.181651  -0.004591   0.002590   0.001918  -0.538909   0.217781
   1.640609   0.815791   1.439759   1.800000   0.116064   0.063772   0.857448  -0.216244   1.708292  -0.546183   0.216775   1.502506  -1.918263   0.182956  -0.004694   0.002559   0.001895  -0.545634   0.219274
   1.658063   0.804064   1.433244   1.800000   0.122638   0.070402   0.852520  -0.202590   1.708390  -0.552898   0.218202   1.495642  -1.918595   0.184172  -0.004791   0.002528   0.001872  -0.552389   0.220678
   1.675516   0.792321   1.426720   1.800000   0.129331   0.077155   0.848847  -0.190189   1.708490  -0.559639   0.219542   1.488768  -1.918939   0.185303  -0.004882   0.002497   0.001849  -0.559167   0.221994
   1.692969   0.780565   1.420189   1.800000   0.136146   0.084031   0.845006  -0.177622   1.708594  -0.566404   0.220800   1.481887  -1.919295   0.186352  -0.004967   0.002466   0.001826  -0.565968   0.223227
   1.710423   0.768799   1.413652   1.800000   0.143085   0.091032   0.842195  -0.166084   1.708702  -0.573189   0.221978   1.475001  -1.919663   0.187320  -0.005047   0.002434   0.001803  -0.572786   0.224378
   1.727876   0.757026   1.407111   1.800000   0.150149   0.098161   0.839181  -0.154344   1.708813  -0.579990   0.223077   1.468111  -1.920044   0.188211  -0.005121   0.002403   0.001779  -0.579621   0.225451
   1.745329   0.745249   1.400569   1.800000   0.157340   0.105419   0.837037  -0.143473   1.708928  -0.586805   0.224099   1.461220  -1.920436   0.189025  -0.005189   0.002371   0.001756  -0.586466   0.226446
   1.762783   0.733472   1.394026   1.800000   0.164659   0.112808   0.834669  -0.132378   1.709046  -0.593632   0.225046   1.454328  -1.920839   0.189765  -0.005253   0.002339   0.001732  -0.593323   0.227365
   1.780236   0.721697   1.387484   1.800000   0.172109   0.120329   0.833050  -0.122032   1.709168  -0.600466   0.225920   1.447439  -1.921255   0.190431  -0.005311   0.002308   0.001709  -0.600185   0.228211
   1.797689   0.709927   1.380946   1.800000   0.179692   0.127985   0.831194  -0.111450   1.709293  -0.607305   0.226722   1.440553  -1.921682   0.191026  -0.005363   0.002276   0.001685  -0.607052   0.228984
   1.815142   0.698165   1.374411   1.800000   0.187410   0.135778   0.829993  -0.101522   1.709421  -0.614147   0.227453   1.433672  -1.922120   0.191551  -0.005411   0.002244   0.001661  -0.613919   0.229685
   1.832596   0.686415   1.367883   1.800000   0.195264   0.143709   0.828547  -0.091350   1.709552  -0.620988   0.228115   1.426798  -1.922570   0.192006  -0.005454   0.002212   0.001638  -0.620786   0.230317
   1.850049   0.674679   1.361364   1.800000   0.203258   0.151781   0.827682  -0.081758   1.709687  -0.627827   0.228708   1.419934  -1.923030   0.192393  -0.005492   0.002179   0.001614  -0.627649   0.230880
