         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp
   3.298672   0.005688   1.028538   0.313994   0.722775   0.998443  -0.102475   1.596991   0.413659  -0.776335   0.102466   0.837560   0.828887
   3.316126   0.004459   1.024385   0.278006   0.722327   0.999387  -0.117480   1.620722   0.366758  -0.776215   0.099318   0.834410   0.865489
   3.333579   0.003379   1.020234   0.242028   0.721873   1.000281  -0.132524   1.644493   0.319725  -0.776021   0.096179   0.831265   0.897776
   3.351032   0.002450   1.016084   0.206062   0.721413   1.001127  -0.147794   1.668489   0.272569  -0.775753   0.093052   0.828126   0.925706
   3.368485   0.001670   1.011937   0.170117   0.720968   1.001942  -0.163114   1.692536   0.225306  -0.775410   0.089937   0.824992   0.949237
   3.385939   0.001039   1.007791   0.134187   0.720493   1.002683  -0.178710   1.716859   0.177936  -0.774992   0.086837   0.821864   0.968339
   3.403392   0.000557   1.003648   0.098283   0.720047   1.003409  -0.194321   1.741197   0.130479  -0.774500   0.083753   0.818741   0.982975
   3.420845   0.000225   0.999508   0.062401   0.719555   1.004042  -0.210330   1.765932   0.082936  -0.773934   0.080688   0.815625   0.993122
   3.438299   0.000041   0.995371   0.026548   0.719019   1.004587  -0.226109   1.790438   0.035323  -0.773293   0.077644   0.812513   0.998752
   3.455752   0.000005   0.991238  -0.009273   0.719013   1.005615  -0.242502   1.815558  -0.012351  -0.772579   0.074622   0.809409   0.999847
